location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,reg_BRUXELLES,reg_VLAANDEREN,reg_WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
2500,HOUSE,HOUSE,393000,4,228,0,0,0,1,20,1,212,341,3,0,,Lier,Non,LIER,ANVERS,VLAANDEREN,20,20,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3500,HOUSE,HOUSE,399000,9,180,0,0,0,0,,0,,130,,0,TO_RENOVATE,Hasselt,Non,HASSELT,LIMBOURG,VLAANDEREN,16,16,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2850,HOUSE,HOUSE,278000,3,123,1,0,0,1,,0,,170,2,0,GOOD,Boom,Non,BOOM,ANVERS,VLAANDEREN,16,16,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3580,APARTMENT,PENTHOUSE,610000,3,162,1,0,0,1,38,1,,,2,0,AS_NEW,Beringen,Non,BERINGEN,LIMBOURG,VLAANDEREN,38,200,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8620,APARTMENT,APARTMENT,288500,2,86,0,0,0,1,,0,,,,0,AS_NEW,Nieuwpoort,Non,NIEUWPOORT,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7100,APARTMENT,APARTMENT,149000,2,80,1,0,0,0,,0,,,,0,AS_NEW,La Louvière,Non,LA LOUVIÈRE,HAINAUT,WALLONIE,16,16,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9680,HOUSE,HOUSE,579000,5,200,1,1,0,1,,0,,311,3,0,JUST_RENOVATED,Etikhove,Oui,MAARKEDAL,FLANDRE-ORIENTALE,VLAANDEREN,16,16,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4470,HOUSE,HOUSE,499000,4,240,1,0,1,0,,1,2500,2727,4,1,GOOD,Saint-Georges-Sur-Meuse,Non,SAINT-GEORGES-SUR-MEUSE,LIEGE,WALLONIE,16,16,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1030,HOUSE,HOUSE,750000,7,291,1,0,0,1,8,0,,0,2,0,JUST_RENOVATED,Schaerbeek,Non,SCHAERBEEK,BRUXELLES,BRUXELLES,8,8,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2480,HOUSE,VILLA,825000,4,590,1,0,1,1,,0,,1735,4,0,AS_NEW,Dessel,Non,DESSEL,ANVERS,VLAANDEREN,16,16,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5100,HOUSE,HOUSE,265000,4,145,1,0,0,1,24,1,,160,3,0,GOOD,Dave,Oui,NAMUR,NAMUR,WALLONIE,24,200,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7370,HOUSE,HOUSE,130000,2,106,1,0,0,1,32,0,,121,2,0,GOOD,Dour,Non,DOUR,HAINAUT,WALLONIE,32,32,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6224,HOUSE,HOUSE,180000,5,157,1,0,0,1,17,1,535,650,2,0,TO_RENOVATE,Wanfercée-Baulet,Oui,FLEURUS,HAINAUT,WALLONIE,17,17,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7830,HOUSE,HOUSE,775000,5,300,1,0,0,1,130,1,700,1134,4,1,AS_NEW,Silly,Non,SILLY,HAINAUT,WALLONIE,130,130,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3000,APARTMENT,APARTMENT,335000,1,58,1,0,0,1,,0,,,2,0,GOOD,Leuven,Non,LEUVEN,BRABANT FLAMAND,VLAANDEREN,16,16,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8670,APARTMENT,APARTMENT,385000,3,125,1,0,1,1,10,0,,,,0,AS_NEW,Koksijde,Non,KOKSIJDE,FLANDRE-OCCIDENTALE,VLAANDEREN,10,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2800,HOUSE,HOUSE,456200,3,208,1,0,0,0,,0,,749,3,0,AS_NEW,Mechelen,Non,MECHELEN,ANVERS,VLAANDEREN,16,16,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
